Coaster_Name,Location,Manufacturer,Type_Main,Year_Introduced,Latitude,Longitude,Speed_mph,Height_ft,Inversions,Gforce,Opening_Date
Knightmare (Camelot),Other,Zierer,Other,1987,38.37574802043423,-41.59113754789273,40,103,0,5.0,1999-01-01
Lisebergbanan,Liseberg,Zierer,Steel,1987,57.695,11.9925,49,147,0,3.0,1987-04-18
Raptor Attack,Lightwater Valley,Anton Schwarzkopf,Steel,1987,54.1739,-1.5687,40,103,0,3.815092592592593,1987-04-02
Runaway Train (roller coaster),Chessington World of Adventures,Mack Rides,Steel,1987,51.3494,-0.318,22,15,0,3.815092592592593,1987-06-07
Scorpion Express,Chessington World of Adventures,Mack Rides,Steel,1987,51.3494,-0.318,22,15,0,3.815092592592593,1987-06-07
Skyliner (roller coaster),Other,Philadelphia Toboggan Coasters,Wood,1987,38.37574802043423,-41.59113754789273,40,103,0,3.815092592592593,1999-01-01
Vortex (Kings Island),Kings Island,Arrow Dynamics,Steel,1987,39.3407,-84.2642,55,103,6,3.9,1987-04-11
Woodstock's Express (California's Great America),Other,Intamin,Steel,1987,40.5793,-75.5326,49,103,0,3.815092592592593,1999-01-01
Avalanche (Blackpool Pleasure Beach),Blackpool Pleasure Beach,Mack Rides,Steel,1988,53.7901,-3.0559,45,103,0,3.815092592592593,1988-06-22
Avalanche (Kings Dominion),Kings Dominion,Mack Rides,Steel,1988,37.8401,-77.4407,41,103,0,3.4,1988-03-26
Bandit (Yomiuriland),Yomiuriland,TOGO,Steel,1988,35.6255,139.5181,68,103,0,3.815092592592593,1988-03-01
Beast (Alton Towers),"Alton, Staffordshire, England",Vekoma,Other,1988,52.9875,-1.8908,49,103,0,3.815092592592593,1999-01-01
Boomerang (Six Flags México),Other,Vekoma,Steel,1988,19.2934,-99.2078,47,103,3,5.2,1999-01-01
Cobra (La Ronde),Other,Intamin,Steel,1988,38.37574802043423,-41.59113754789273,48,103,1,3.815092592592593,1999-01-01
Crazy Bats,Phantasialand,Vekoma,Steel,1988,50.801,6.878,28,103,0,3.815092592592593,1988-04-01
Jetline,Gröna Lund,Anton Schwarzkopf,Steel,1988,59.3231,18.0956,55,103,0,4.5,1988-01-01
Ninja (Six Flags Magic Mountain),Six Flags Magic Mountain,Arrow Dynamics,Steel,1988,34.4222,-118.5983,55,103,0,2.9,1988-05-21
Raging Wolf Bobs,Geauga Lake,Dinn Corporation,Wood,1988,41.3525,-81.3722,50,103,0,3.815092592592593,1988-05-28
Shockwave (Six Flags Great America),Six Flags Great America,Arrow Dynamics,Steel,1988,42.3712,-87.9343,65,103,7,3.815092592592593,1988-06-03
Thunderbolt Express,Other,Arrow Dynamics,Steel,1988,38.37574802043423,-41.59113754789273,45,103,1,4.0,1999-01-01
Wipeout (roller coaster),Pleasurewood Hills,Vekoma,Steel,1988,52.5075,1.7434,50,103,6,3.815092592592593,2007-01-01
Wolverine Wildcat,Michigan's Adventure,Dinn Corporation,Wood,1988,43.3436,-86.2775,55,103,0,3.815092592592593,1988-05-18
Anaconda (Walygator Parc),Walygator Parc,William Cobb,Other,1989,38.37574802043423,-41.59113754789273,49,103,0,3.815092592592593,1989-01-01
Eurosat - CanCan Coaster,Europa-Park,Mack Rides,Steel,1989,38.37574802043423,-41.59113754789273,37,83,0,4.0,1989-01-01
Excalibur (Valleyfair),Valleyfair,Arrow Dynamics,Steel,1989,44.7995,-93.462,54,103,0,3.6,1989-01-01
Flashback (Six Flags Over Texas),Other,Vekoma,Steel,1989,38.37574802043423,-41.59113754789273,47,103,3,5.2,1999-01-01
Goudurix,Parc Astérix,Vekoma,Steel,1989,49.1314,2.5714,55,118,7,3.9,1989-01-01
Great American Scream Machine (Six Flags Great Adventure),Six Flags Great Adventure,Arrow Dynamics,Steel,1989,40.1391,-74.4381,68,103,7,3.8,1989-04-15
Hercules (roller coaster),Dorney Park & Wildwater Kingdom,Dinn Corporation,Wood,1989,40.5811,-75.5322,65,103,0,3.815092592592593,1989-05-06
